FEEDER,CAPACITY
﻿PA22,5473.6
﻿PA23,5500.0
﻿PA24,5500.0
﻿PA28,5500.0
﻿PA30,5465.6
﻿PB23,0.0
﻿PB24,5130.5
﻿PB25,3882.5
﻿PB26,5467.0
﻿PB27,0.0
﻿PC21,3497.2
﻿PC22,3091.7
﻿PC24,5487.9
﻿PC25,5230.5
﻿PC31,5313.1
﻿PC32,5500.0
﻿PC33,1578.8
﻿PC34,5500.0
﻿PC35,5392.6
﻿PD21,5484.2
﻿PD22,4808.6
﻿PD23,4591.4
﻿PD24,4894.1
﻿PD25,4678.3
﻿PD26,5500.0
﻿PD27,5491.6
﻿PD28,5380.6
﻿PD29,5471.2
﻿PD30,5480.2
﻿PD31,5500.0
﻿PD32,5500.0
﻿PD33,5480.0
﻿PD34,5418.8
﻿PD35,5462.2
﻿PE21,5311.1
﻿PE22,5194.5
﻿PE23,3094.6
﻿PF21,0.0
﻿PF22,5500.0
﻿PF23,4151.2
﻿PF24,5500.0
﻿PG21,5500.0
﻿PG22,4780.1
﻿PG23,4328.2
﻿PG24,0.0
﻿PG25,5438.1
﻿PH21,2724.4
﻿PH22,0.0
﻿PH23,1140.0
﻿PH24,0.0
﻿PH25,4468.4
﻿PH26,120.0
﻿PH27,0.0
﻿PH28,5500.0
﻿PH29,5500.0
﻿PJ21,3709.1
﻿PJ22,2281.4
﻿PJ23,4714.6
﻿PJ25,0.0
﻿PK22,2888.3
﻿PK24,5238.4
﻿PK25,5500.0
﻿PK28,5500.0
﻿PK29,5244.6
﻿PK30,5500.0
﻿PK35,5500.0
﻿PL21,5494.0
﻿PL22,5500.0
﻿PL23,4211.7
﻿PL24,5420.4
﻿PL25,5491.4
﻿PL45,4390.8
﻿PL46,5490.7
﻿PL47,5496.0
﻿PL48,5008.3
﻿PL49,5500.0
﻿PL51,10870.7
﻿PL52,10990.0
﻿PL53,11000.0
﻿PL54,9879.8
﻿PM21,5378.4
﻿PM22,0.0
﻿PM23,5149.9
﻿PM24,4832.0
﻿PM25,5433.0
﻿PM31,5214.8
﻿PM32,5500.0
﻿PM33,5500.0
﻿PM34,5330.3
﻿PM35,5500.0
﻿PM41,5298.3
﻿PM42,5500.0
﻿PM43,5500.0
﻿PM44,5212.9
﻿PM45,5500.0
﻿PN21,5500.0
﻿PN22,3874.4
﻿PN23,3308.5
﻿PN24,5174.3
﻿PN25,3020.0
﻿PN31,4748.9
﻿PN32,0.0
﻿PN33,2730.1
﻿PN34,3906.5
﻿PN35,5500.0
﻿PN41,5492.9
﻿PN42,3196.7
﻿PN43,5460.0
﻿PN44,3040.0
﻿PN45,4977.8
﻿PO21,0.0
﻿PO22,0.0
﻿PO31,0.0
﻿PO32,5298.3
﻿PO33,0.0
﻿PO34,0.0
﻿PP21,5450.0
﻿PP22,5482.1
﻿PP23,5477.2
﻿PP24,5500.0
﻿PP25,5484.8
﻿PP31,5466.5
﻿PP32,5428.7
﻿PP33,5493.0
﻿PP34,5500.0
﻿PP35,5222.4
﻿PP41,5480.8
﻿PP42,5500.0
﻿PP43,5500.0
﻿PP44,5500.0
﻿PP45,5494.2
﻿PP51,10995.2
﻿PP52,10901.0
﻿PP53,10974.9
﻿PP54,11000.0
﻿PP55,11000.0
﻿PQ21,522.1
﻿PQ24,4095.5
﻿PQ25,0.0
﻿PQ26,5500.0
﻿PQ29,4950.0
﻿PQ31,4404.9
﻿PQ32,5500.0
﻿PQ33,5471.9
﻿PQ34,4218.1
﻿PQ36,5500.0
﻿PQ37,2990.0
﻿PQ38,5500.0
﻿PQ39,1780.0
﻿PQ40,4410.0
﻿PS21,5500.0
﻿PS22,5170.8
﻿PS23,5500.0
﻿PS24,5500.0
﻿PS25,5500.0
﻿PS26,5500.0
﻿PS27,5500.0
